# Out-of-sample ladder: Calgary corpus (18 files), LZ4HC-9 literals, PH, M4, reps=7
# 372KB total lits; files 2.9-66KB; extractor identical to the Silesia pipeline.
# Nudge/auto/exact design frozen from Silesia tuning — nothing adjusted for Calgary.
# (bench gained inner-loop timing so tiny files span >= ~8MB per timed region)

LADDER G=4K reps=7 fse=0 (PH)
file            cfg    ratio   enc-e2e   dec-e2e     enc-k     dec-k build u/w   adopted
bib.lits        off   0.7572       145      4400      1683      5211      24.7         -
bib.lits      nudge   0.7558       412      5957      3444      8851       8.3       1/3
bib.lits       auto   0.7560       256      7420      4297     11245      14.3       3/3
bib.lits      exact   0.7561       132      7453      4377     11475      28.7       3/3
book1.lits      off   0.6995       738      4873      2990      6840       4.0         -
book1.lits    nudge   0.6971       596      5355      3205      7672       5.4      8/17
book1.lits     auto   0.6927       454      6947      4294     10702       7.7     17/17
book1.lits    exact   0.6933       235      6857      4227     10529      15.7     17/17
book2.lits      off   0.7370       730      5031      3189      7190       4.3         -
book2.lits    nudge   0.7334       578      6013      3417      8353       5.8      7/11
book2.lits     auto   0.7354       296      6906      4283     10634      12.7     10/11
book2.lits    exact   0.7347       188      6822      4221     10541      20.5     10/11
geo.lits        off   0.8077       347      3966      2795      6073       9.7         -
geo.lits      nudge   0.8028       319      5222      3686      8162      11.0     15/16
geo.lits       auto   0.8075       231      3968      2776      6198      15.2      1/16
geo.lits      exact   0.7996        54      5403      3769      8406      69.7     16/16
news.lits       off   0.7835       702      4997      2958      6765       4.3         -
news.lits     nudge   0.7807       583      5758      3609      8328       5.7     10/13
news.lits      auto   0.7799       356      6864      4054     10403      10.2     13/13
news.lits     exact   0.7799       166      6716      4057     10275      22.8     13/13
obj1.lits       off   0.9512       303      3689      2440      5885       8.0         -
obj1.lits     nudge   0.9463       304      4728      3610      8085       8.3       3/3
obj1.lits      auto   0.9470       162      4908      3762      8469      16.3       2/3
obj1.lits     exact   0.9418        39      4766      3492      7985      70.3       3/3
obj2.lits       off   0.9189       381      3927      2777      6073       9.0         -
obj2.lits     nudge   0.9135       302      5410      3685      8587      12.1     10/10
obj2.lits      auto   0.9161       217      5428      3583      8526      17.2      8/10
obj2.lits     exact   0.9118        55      5878      3970      9638      71.5     10/10
paper1.lits     off   0.7489       598      4847      3118      7092       4.5         -
paper1.lits   nudge   0.7489       549      4805      3112      6900       5.0       0/2
paper1.lits    auto   0.7455       241      6756      4193     10397      13.0       2/2
paper1.lits   exact   0.7452       143      6686      4187     10371      22.5       2/2
paper2.lits     off   0.7127       606      4938      3092      7419       3.7         -
paper2.lits   nudge   0.7107       533      4971      3227      7705       4.3       1/3
paper2.lits    auto   0.7064       266      6617      3816     10541       9.7       3/3
paper2.lits   exact   0.7074       176      6425      3737     10109      15.0       3/3
paper3.lits     off   0.7107       651      4894      3067      7164       4.0         -
paper3.lits   nudge   0.7031       561      6679      3702      9975       5.0       2/2
paper3.lits    auto   0.7028       353      6832      3811     10023       8.5       2/2
paper3.lits   exact   0.7031       128      6483      3769     10107      25.0       2/2
paper4.lits     off   0.7135       644      5678      3445      8375       4.0         -
