--- Selkie HyperFast1 ---
file               bytes |  ratio | enc MB/s | dec MB/s |
dickens         10192446 |  1.793 |      302 |    13867 |
mozilla         51220480 |  2.271 |      644 |    11135 |
mr               9970564 |  1.802 |      450 |     9097 |
nci             33553445 |  6.904 |     1531 |    10792 |
ooffice          6152192 |  1.622 |      464 |    11718 |
osdb            10085684 |  2.195 |      915 |     9596 |
reymont          6627202 |  2.344 |      385 |    11668 |
samba           21606400 |  3.086 |      760 |    11931 |
sao              7251944 |  1.000 |      500 |    74762 |
webster         41458703 |  2.224 |      403 |    10002 |
x-ray            8474240 |  1.005 |      349 |    58443 |
xml              5345280 |  5.267 |     1181 |    12727 |
==                       |  2.233 |      578 |    15021 |  geomean/12
--- Selkie VeryFast ---
file               bytes |  ratio | enc MB/s | dec MB/s |
dickens         10192446 |  1.948 |      281 |    12430 |
mozilla         51220480 |  2.347 |      460 |    10749 |
mr               9970564 |  1.814 |      431 |     8716 |
nci             33553445 |  7.072 |     1620 |    10820 |
ooffice          6152192 |  1.686 |      301 |    11247 |
osdb            10085684 |  2.356 |      730 |     7770 |
reymont          6627202 |  2.453 |      414 |    10829 |
samba           21606400 |  3.262 |      685 |    11717 |
sao              7251944 |  1.010 |      379 |    47398 |
webster         41458703 |  2.399 |      344 |     8939 |
x-ray            8474240 |  1.006 |      211 |    47079 |
xml              5345280 |  5.349 |     1095 |    13297 |
==                       |  2.320 |      485 |    13513 |  geomean/12
--- Selkie Normal ---
file               bytes |  ratio | enc MB/s | dec MB/s |
dickens         10192446 |  2.284 |       76 |     9763 |
mozilla         51220480 |  2.620 |      151 |    11003 |
mr               9970564 |  2.245 |      116 |    11513 |
nci             33553445 |  8.255 |      303 |    11907 |
ooffice          6152192 |  1.838 |      103 |    11652 |
osdb            10085684 |  2.506 |      148 |     9313 |
reymont          6627202 |  2.977 |       98 |     9295 |
samba           21606400 |  3.782 |      175 |    11904 |
sao              7251944 |  1.277 |       95 |    12375 |
webster         41458703 |  2.898 |      100 |     8269 |
x-ray            8474240 |  1.049 |       91 |    25680 |
xml              5345280 |  6.694 |      238 |    15360 |
==                       |  2.699 |      129 |    11779 |  geomean/12
--- Selkie Optimal2 ---
file               bytes |  ratio | enc MB/s | dec MB/s |
dickens         10192446 |  2.513 |        5 |     6929 |
