===== h2h-silesia-base =====
per-block windows, fse=0, reps=8  (enc/dec MB/s, ratio=orig/comp)
               wins | huf0  enc  dec ratio | pvSMPL enc  dec ratio | pvBAL enc dec ratio
dickens.lits     78 |  1330  1205  1.52 |  1446  7314  1.46 |  1005 11443  1.47
mozilla.lits   1481 |  1094  1579  1.09 |  1313  5543  1.07 |   948  7668  1.08
mr.lits          77 |  1101  1378  1.20 |  1479  8353  1.18 |  1178  8345  1.18
nci.lits        256 |   946   979  1.84 |  1175  6631  1.67 |   619  8538  1.68
ooffice.lits    102 |  1381  1407  1.13 |  1670  7659  1.12 |  1520 10585  1.12
osdb.lits        77 |  1487  1406  1.14 |  1936  8425  1.13 |  1585  8473  1.13
reymont.lits     51 |  1128  1164  1.37 |  1386  6321  1.31 |   729 10525  1.32
samba.lits      385 |  1105  2164  1.12 |  1437  7377  1.09 |   950 17872  1.09
sao.lits        306 |  1054  1344  1.04 |  1782  8245  1.03 |  1367  9130  1.02
webster.lits    317 |  1269  1224  1.49 |  1336  6865  1.44 |   989 10394  1.45
x-ray.lits       66 |  1428  1562  1.18 |  1309  9024  1.18 |  1274 10517  1.17
xml.lits         47 |  1033  1177  1.52 |  1302  6637  1.44 |   708  8733  1.44
== geomean          |  1185  1356  1.28 |  1450  7300  1.25 |  1029  9930  1.25

===== h2h-silesia-v4 =====
per-block windows, fse=0, reps=8  (enc/dec MB/s, ratio=orig/comp)
               wins | huf0  enc  dec ratio | pvSMPL enc  dec ratio | pvBAL enc dec ratio
dickens.lits     78 |  1332  1206  1.52 |  1359  6768  1.50 |   962 10361  1.50
mozilla.lits   1481 |  1092  1583  1.09 |  1203  6181  1.09 |   891  6936  1.08
mr.lits          77 |  1114  1378  1.20 |  1445  8132  1.19 |  1153  7996  1.19
nci.lits        256 |   947   978  1.84 |  1070  5675  1.81 |   586  7101  1.82
ooffice.lits    102 |  1368  1406  1.13 |  1619  7062  1.13 |  1402  9644  1.12
osdb.lits        77 |  1454  1405  1.14 |  1861  8007  1.13 |  1527  7976  1.13
reymont.lits     51 |  1132  1165  1.37 |  1293  5832  1.36 |   711  8907  1.36
samba.lits      385 |  1102  2155  1.12 |  1285 12581  1.12 |   902 16524  1.12
sao.lits        306 |  1053  1340  1.04 |  1649  7485  1.03 |  1287  8345  1.02
webster.lits    317 |  1239  1225  1.49 |  1273  6368  1.48 |   935  9503  1.48
x-ray.lits       66 |  1456  1560  1.18 |  1305  8666  1.18 |  1278 10034  1.17
xml.lits         47 |  1028  1173  1.52 |  1196  5927  1.51 |   675  7479  1.51
== geomean          |  1182  1355  1.28 |  1364  7206  1.27 |   984  8980  1.27

===== h2h-prague-base =====
per-block windows, fse=0, reps=8  (enc/dec MB/s, ratio=orig/comp)
               wins | huf0  enc  dec ratio | pvSMPL enc  dec ratio | pvBAL enc dec ratio
abbot.lits       12 |  6739 81890  1.00 |  2370 14119  0.99 |  2167 72869  0.99
age.lits          2 |  1306  1386  1.05 |  1746  8636  1.04 |  1425 11089  1.03
bovary.lits      17 |  1379  1340  1.20 |  1647  8077  1.19 |  1385 16568  1.18
collapse.lits      1 |   436   728  1.41 |   629  2558  1.14 |   185  2554  1.14
compress.lits      1 |  1372  1311  1.37 |  1556  9834  1.35 |  1320 14556  1.34
corilis.lits     69 |   949  1256  1.05 |  1504  7190  1.04 |  1121 10962  1.04
cyprus.lits       5 |   561   745  1.61 |   970  4994  1.40 |   412  6591  1.41
drkonqi.lits      1 |  1454  1429  1.11 |  1544  7501  1.10 |  1429 10150  1.09
emission.lits     21 |   717  1168  1.05 |  1397  6943  1.03 |   861  8218  1.03
firewrks.lits    104 |  1030  1422  1.05 |  1705  8338  1.04 |  1320 11401  1.04
flower.lits      84 |  1567  1456  1.11 |  1639  8605  1.10 |  1600 10521  1.10
