ab_wire3  G=16384  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         43 |    8845    8864    9499  0.931  0.933 |    5529    5566    5325  1.038  1.045 |   459099  0.257
mozilla.lits        690 |    7707    7877    8540  0.902  0.922 |    5121    5192    4909  1.043  1.058 | 10605627  0.173
mr.lits              96 |    8495    8546    9087  0.935  0.940 |    5241    5258    5031  1.042  1.045 |  1242291  0.201
nci.lits             51 |    9958    9974   10780  0.924  0.925 |    6021    6037    5838  1.031  1.034 |   434471  0.277
ooffice.lits        106 |    7548    7621    8146  0.927  0.936 |    4661    4700    4447  1.048  1.057 |  1584610  0.229
osdb.lits           125 |    8511    8541    9215  0.924  0.927 |    5023    5052    4825  1.041  1.047 |  1817960  0.190
reymont.lits         22 |   10401   10387   11021  0.944  0.942 |    6180    6203    5912  1.045  1.049 |   248736  0.217
samba.lits          145 |    9391    9394    9951  0.944  0.944 |    5834    5900    5655  1.032  1.043 |  2099615  0.144
sao.lits            239 |    8611    8649    9141  0.942  0.946 |    5627    5661    5428  1.037  1.043 |  3775559  0.127
webster.lits        176 |    8659    8685    9383  0.923  0.926 |    5447    5477    5233  1.041  1.047 |  1910286  0.272
x-ray.lits          295 |    7979    8056    8571  0.931  0.940 |    5169    5205    4976  1.039  1.046 |  4076288  0.182
xml.lits             11 |    9520    9546   10099  0.943  0.945 |    5765    5773    5526  1.043  1.045 |   123678  0.226
geomean dec A/B 0.931  R/B 0.936 | enc A/B 1.040  R/B 1.047 | mean saving 0.208%  (12 files)
