ab_wire3  G=4096  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |   11584   11485   12798  0.905  0.897 |    7177    7193    6954  1.032  1.034 |   463046  0.329
mozilla.lits       2763 |    6954    7249    8260  0.842  0.878 |    5290    5485    5046  1.048  1.087 | 10500070  0.393
mr.lits             384 |    6264    6618    7187  0.872  0.921 |    4405    4453    4184  1.053  1.064 |  1231758  0.741
nci.lits            205 |   11276   10944   12611  0.894  0.868 |    7082    7102    6820  1.038  1.041 |   439283  0.453
ooffice.lits        427 |    8042    8110    9120  0.882  0.889 |    5351    5391    5164  1.036  1.044 |  1587355  0.375
osdb.lits           502 |    8664    8760    9881  0.877  0.887 |    5585    5660    5387  1.037  1.051 |  1841750  0.353
reymont.lits         91 |   12978   12792   14219  0.913  0.900 |    7625    7603    7422  1.027  1.024 |   259474  0.266
samba.lits          580 |   17515   17558   19311  0.907  0.909 |    8793    8805    8606  1.022  1.023 |  2087602  0.144
sao.lits            957 |    6748    7000    7843  0.860  0.893 |    5062    5097    4835  1.047  1.054 |  3758001  0.426
webster.lits        706 |   10453   10570   11933  0.876  0.886 |    6849    6915    6574  1.042  1.052 |  1921448  0.361
x-ray.lits         1183 |    7127    7476    8299  0.859  0.901 |    5252    5331    5068  1.036  1.052 |  4106984  0.417
xml.lits             45 |   11530   11468   12862  0.896  0.892 |    7012    7041    6800  1.031  1.035 |   125255  0.331
geomean dec A/B 0.882  R/B 0.893 | enc A/B 1.037  R/B 1.047 | mean saving 0.382%  (12 files)
