ab_wire3  G=32768  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |    8462    8593    9604  0.881  0.895 |    5607    5577    5462  1.026  1.021 |   448063  0.137
mozilla.lits        345 |    9106    9253   10253  0.888  0.902 |    5712    5716    5575  1.025  1.025 | 10652168  0.079
mr.lits              48 |    8362    8467    9384  0.891  0.902 |    5355    5337    5220  1.026  1.023 |  1248098  0.096
nci.lits             25 |    9405    9556   10788  0.872  0.886 |    6076    6070    5902  1.029  1.028 |   425939  0.144
ooffice.lits         53 |    7520    7617    8490  0.886  0.897 |    4807    4795    4664  1.031  1.028 |  1589951  0.111
osdb.lits            62 |    8080    8194    9164  0.882  0.894 |    5061    5043    4920  1.029  1.025 |  1802024  0.094
reymont.lits         11 |   10597   10916   12104  0.876  0.902 |    6736    6771    6596  1.021  1.027 |   248567  0.106
samba.lits           72 |    9804   10005   10969  0.894  0.912 |    6231    6209    6081  1.025  1.021 |  2094521  0.071
sao.lits            119 |    8376    8474    9274  0.903  0.914 |    5604    5597    5480  1.023  1.021 |  3778622  0.067
webster.lits         88 |    8343    8441    9571  0.872  0.882 |    5548    5523    5411  1.025  1.021 |  1908452  0.144
x-ray.lits          147 |    7863    8003    8836  0.890  0.906 |    5292    5288    5152  1.027  1.026 |  4060661  0.086
xml.lits              5 |    9749    9789   10863  0.897  0.901 |    6098    6093    5952  1.024  1.024 |   113868  0.112
geomean dec A/B 0.886  R/B 0.899 | enc A/B 1.026  R/B 1.024 | mean saving 0.104%  (12 files)
