ab_wire3  G=4096  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |   11165   11059   12929  0.864  0.855 |    7252    7253    7019  1.033  1.033 |   463046  0.329
mozilla.lits       2763 |    7011    7223    8670  0.809  0.833 |    5309    5495    5077  1.046  1.082 | 10500070  0.393
mr.lits             384 |    6347    6433    7697  0.825  0.836 |    4449    4479    4235  1.051  1.058 |  1231758  0.741
nci.lits            205 |   11039   10675   12705  0.869  0.840 |    7110    7124    6856  1.037  1.039 |   439283  0.453
ooffice.lits        427 |    7793    7888    9263  0.841  0.852 |    5412    5432    5203  1.040  1.044 |  1587355  0.375
osdb.lits           502 |    8547    8481    9980  0.856  0.850 |    5644    5673    5422  1.041  1.046 |  1841750  0.353
reymont.lits         91 |   12532   12330   14365  0.872  0.858 |    7681    7689    7465  1.029  1.030 |   259474  0.266
samba.lits          580 |   16835   16852   19367  0.869  0.870 |    8878    8892    8676  1.023  1.025 |  2087602  0.144
sao.lits            957 |    6763    6862    8020  0.843  0.856 |    5125    5144    4893  1.047  1.051 |  3758001  0.426
webster.lits        706 |   10079   10177   11908  0.846  0.855 |    6898    6952    6642  1.039  1.047 |  1921448  0.361
x-ray.lits         1183 |    7139    7276    8551  0.835  0.851 |    5308    5345    5115  1.038  1.045 |  4106984  0.417
xml.lits             45 |   10974   10892   12968  0.846  0.840 |    7074    7094    6818  1.038  1.040 |   125255  0.331
geomean dec A/B 0.848  R/B 0.850 | enc A/B 1.038  R/B 1.045 | mean saving 0.382%  (12 files)
