ab_wire3  G=4096  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |    6951    6808    7987  0.870  0.852 |    4756    4751    4540  1.048  1.047 |   463810  0.880
mozilla.lits       2763 |    4826    4794    5757  0.838  0.833 |    3965    3969    3788  1.047  1.048 | 10500208  0.630
mr.lits             384 |    6197    6344    7329  0.846  0.866 |    4403    4409    4189  1.051  1.052 |  1231740  0.759
nci.lits            205 |    7853    7751    9062  0.867  0.855 |    5278    5277    4970  1.062  1.062 |   439187  0.909
ooffice.lits        427 |    5333    5529    6322  0.844  0.874 |    3858    3870    3662  1.054  1.057 |  1584772  0.796
osdb.lits           502 |    6278    6164    7351  0.854  0.839 |    4139    4144    3938  1.051  1.052 |  1831510  0.688
reymont.lits         91 |    7738    7541    8769  0.882  0.860 |    5116    5109    4867  1.051  1.050 |   260152  0.730
samba.lits          580 |    6804    6938    7892  0.862  0.879 |    4961    4967    4713  1.052  1.054 |  2085688  0.542
sao.lits            957 |    6526    6567    7652  0.853  0.858 |    4924    4943    4698  1.048  1.052 |  3752918  0.468
webster.lits        706 |    5739    6035    6933  0.828  0.870 |    4496    4493    4218  1.066  1.065 |  1927431  0.940
x-ray.lits         1183 |    5093    5249    6068  0.839  0.865 |    4164    4180    3923  1.062  1.066 |  4096623  0.709
xml.lits             45 |    7530    7362    8662  0.869  0.850 |    4993    4999    4728  1.056  1.057 |   125326  0.786
geomean dec A/B 0.854  R/B 0.858 | enc A/B 1.054  R/B 1.055 | mean saving 0.736%  (12 files)
