ab_wire3  G=32768  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits         21 |   13412   13534   14233  0.942  0.951 |    7544    7550    7395  1.020  1.021 |   449484  0.057
mozilla.lits        345 |   11988   12165   12514  0.958  0.972 |    6605    6621    6474  1.020  1.023 | 10690179  0.048
mr.lits              48 |    8917    8818    9350  0.954  0.943 |    5293    5300    5181  1.022  1.023 |  1248098  0.096
nci.lits             25 |   14285   14461   14962  0.955  0.966 |    7793    7780    7676  1.015  1.014 |   427085  0.079
ooffice.lits         53 |   10399   10418   10834  0.960  0.962 |    6042    6066    5941  1.017  1.021 |  1602317  0.039
osdb.lits            62 |   10742   10720   11252  0.955  0.953 |    6158    6155    6079  1.013  1.012 |  1820785  0.049
reymont.lits         11 |   14203   14666   14983  0.948  0.979 |    7761    7764    7661  1.013  1.014 |   248813  0.044
samba.lits           72 |   22477   22539   23281  0.965  0.968 |    9340    9334    9194  1.016  1.015 |  2100757  0.019
sao.lits            119 |    8887    8928    9289  0.957  0.961 |    5562    5571    5468  1.017  1.019 |  3780834  0.066
webster.lits         88 |   12669   12450   13456  0.941  0.925 |    7164    7149    7028  1.019  1.017 |  1913692  0.060
x-ray.lits          147 |    9973   10023   10425  0.957  0.961 |    5948    5956    5850  1.017  1.018 |  4090577  0.047
xml.lits              5 |   13371   13433   13604  0.983  0.987 |    7203    7193    7071  1.019  1.017 |   114453  0.063
geomean dec A/B 0.956  R/B 0.961 | enc A/B 1.017  R/B 1.018 | mean saving 0.055%  (12 files)
