ab_wire3  G=4096  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |    6736    7315    7814  0.862  0.936 |    4621    4645    4391  1.053  1.058 |   463810  0.880
mozilla.lits       2763 |    4676    5419    5787  0.808  0.937 |    3850    3889    3651  1.054  1.065 | 10500208  0.630
mr.lits             384 |    5731    7022    7413  0.773  0.947 |    4303    4328    4087  1.053  1.059 |  1231740  0.759
nci.lits            205 |    7689    8461    8940  0.860  0.946 |    5173    5200    4901  1.055  1.061 |   439187  0.909
ooffice.lits        427 |    5189    6176    6482  0.801  0.953 |    3783    3806    3594  1.052  1.059 |  1584772  0.796
osdb.lits           502 |    6113    6909    7297  0.838  0.947 |    4072    4102    3876  1.051  1.058 |  1831510  0.688
reymont.lits         91 |    7578    8211    8687  0.872  0.945 |    5022    5037    4777  1.051  1.054 |   260152  0.730
samba.lits          580 |    6612    7392    7928  0.834  0.932 |    4878    4907    4640  1.051  1.057 |  2085688  0.542
sao.lits            957 |    6439    7163    7706  0.836  0.930 |    4851    4873    4630  1.048  1.053 |  3752918  0.468
webster.lits        706 |    5703    6732    7255  0.786  0.928 |    4411    4447    4158  1.061  1.070 |  1927431  0.940
x-ray.lits         1183 |    4986    6051    6460  0.772  0.937 |    4107    4148    3891  1.056  1.066 |  4096623  0.709
xml.lits             45 |    7399    8016    8619  0.858  0.930 |    4935    4967    4680  1.054  1.061 |   125326  0.786
geomean dec A/B 0.824  R/B 0.939 | enc A/B 1.053  R/B 1.060 | mean saving 0.736%  (12 files)
