ab_wire3  G=4096  joint=coarse  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |   11060   11861   12834  0.862  0.924 |    7203    7225    6973  1.033  1.036 |   463046  0.329
mozilla.lits       2763 |    6864    7909    8350  0.822  0.947 |    5279    5286    5034  1.049  1.050 | 10500070  0.393
mr.lits             384 |    6319    7193    7494  0.843  0.960 |    4411    4420    4154  1.062  1.064 |  1231758  0.741
nci.lits            205 |   10951   11624   12610  0.868  0.922 |    7060    7082    6842  1.032  1.035 |   439283  0.453
ooffice.lits        427 |    7705    8510    9118  0.845  0.933 |    5366    5378    5160  1.040  1.042 |  1587355  0.375
osdb.lits           502 |    8526    9184    9917  0.860  0.926 |    5605    5645    5392  1.039  1.047 |  1841750  0.353
reymont.lits         91 |   12443   13152   14191  0.877  0.927 |    7635    7630    7402  1.032  1.031 |   259474  0.266
samba.lits          580 |   16822   17971   19313  0.871  0.931 |    8800    8829    8583  1.025  1.029 |  2087602  0.144
sao.lits            957 |    6756    7436    7929  0.852  0.938 |    5067    5072    4838  1.047  1.048 |  3758001  0.426
webster.lits        706 |   10048   10984   11859  0.847  0.926 |    6824    6868    6605  1.033  1.040 |  1921448  0.361
x-ray.lits         1183 |    7105    7834    8411  0.845  0.931 |    5286    5297    5065  1.044  1.046 |  4106984  0.417
xml.lits             45 |   10877   11913   12982  0.838  0.918 |    6982    7022    6781  1.030  1.035 |   125255  0.331
geomean dec A/B 0.852  R/B 0.932 | enc A/B 1.039  R/B 1.042 | mean saving 0.382%  (12 files)
