ab_wire3  G=4096  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |    6726    7593    8062  0.834  0.942 |    4760    4767    4525  1.052  1.054 |   463810  0.880
mozilla.lits       2763 |    4806    5580    5953  0.807  0.937 |    3968    3992    3781  1.049  1.056 | 10500208  0.630
mr.lits             384 |    6362    7106    7584  0.839  0.937 |    4415    4426    4194  1.053  1.055 |  1231740  0.759
nci.lits            205 |    7648    8717    9216  0.830  0.946 |    5286    5300    5009  1.055  1.058 |   439187  0.909
ooffice.lits        427 |    5473    6301    6539  0.837  0.964 |    3879    3875    3681  1.054  1.053 |  1584772  0.796
osdb.lits           502 |    6094    6951    7412  0.822  0.938 |    4154    4178    3940  1.054  1.060 |  1831510  0.688
reymont.lits         91 |    7504    8390    8898  0.843  0.943 |    5116    5153    4884  1.047  1.055 |   260152  0.730
samba.lits          580 |    6844    7463    7971  0.859  0.936 |    4984    4995    4706  1.059  1.061 |  2085688  0.542
sao.lits            957 |    6529    7217    7721  0.846  0.935 |    4955    4953    4727  1.048  1.048 |  3752918  0.468
webster.lits        706 |    5948    6821    7103  0.837  0.960 |    4505    4532    4242  1.062  1.068 |  1927431  0.940
x-ray.lits         1183 |    5119    5978    6189  0.827  0.966 |    4201    4209    3945  1.065  1.067 |  4096623  0.709
xml.lits             45 |    7243    8305    8773  0.826  0.947 |    5007    5020    4760  1.052  1.055 |   125326  0.786
geomean dec A/B 0.834  R/B 0.946 | enc A/B 1.054  R/B 1.058 | mean saving 0.736%  (12 files)
