ab_wire3  G=4096  joint=off  (A = v6 larger-first, R = v6 right-first, B = v4; ratio>1 = v6 faster)
file            windows |    decA    decR    decB   dA/B   dR/B |    encA    encR    encB   eA/B   eR/B |  v4bytes    sv%
dickens.lits        173 |    7095    7240    8173  0.868  0.886 |    4850    4887    4618  1.050  1.058 |   463810  0.880
mozilla.lits       2763 |    5011    5162    5962  0.840  0.866 |    4006    4213    3840  1.043  1.097 | 10500208  0.630
mr.lits             384 |    6377    6811    7483  0.852  0.910 |    4495    4539    4263  1.054  1.065 |  1231740  0.759
nci.lits            205 |    8086    8217    9403  0.860  0.874 |    5328    5379    5087  1.047  1.057 |   439187  0.909
ooffice.lits        427 |    5412    5819    6271  0.863  0.928 |    3940    4008    3730  1.056  1.075 |  1584772  0.796
osdb.lits           502 |    6400    6619    7464  0.857  0.887 |    4222    4301    4009  1.053  1.073 |  1831510  0.688
reymont.lits         91 |    7836    7859    8946  0.876  0.878 |    5189    5233    4946  1.049  1.058 |   260152  0.730
samba.lits          580 |    6931    7150    7915  0.876  0.903 |    5035    5052    4808  1.047  1.051 |  2085688  0.542
sao.lits            957 |    6656    6951    7773  0.856  0.894 |    5023    5051    4773  1.052  1.058 |  3752918  0.468
webster.lits        706 |    5838    6290    7002  0.834  0.898 |    4551    4610    4276  1.064  1.078 |  1927431  0.940
x-ray.lits         1183 |    5171    5483    6178  0.837  0.888 |    4199    4311    3976  1.056  1.084 |  4096623  0.709
xml.lits             45 |    7624    7678    8792  0.867  0.873 |    5060    5062    4788  1.057  1.057 |   125326  0.786
geomean dec A/B 0.857  R/B 0.890 | enc A/B 1.053  R/B 1.068 | mean saving 0.736%  (12 files)
