host: x86_64; gcc13=gcc (Ubuntu 13.3.0-6ubuntu2~24; gcc14=gcc-14 (Ubuntu 14.2.0-4ubuntu2; clang=Ubuntu clang version 18.1.3 (1
tip:  === ALL PASSED (0 failures) ===
exp:  === ALL PASSED (0 failures) ===
== b_cc_main r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     328    4908    4913 |     870 |    1126    1870 |  2.63x
english       |      93   10858   10930 |     857 |    1118    1810 |  6.04x
html_wiki     |     107    5998    6026 |     836 |    1112    1502 |  4.01x
prose_pride   |      71    8095    8183 |     844 |    1113    1692 |  4.84x
image_jpeg    |     114    9611    9691 |     848 |       0       0 | 11.42x
json_api      |     124    7635    7758 |     839 |    1116    1560 |  4.97x
dna_fasta     |     117    6814    6832 |     855 |    1123    1866 |  3.66x
chinese_text  |      83    6473    6493 |     837 |    1111    1502 |  4.32x
calgary_pic   |     378    4451    4461 |     845 |    1108    1625 |  2.75x

== b_cc_sched r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     267    4951    4964 |     870 |    1126    1872 |  2.65x
english       |      93   10596   10780 |     857 |    1119    1815 |  5.94x
html_wiki     |     109    5908    5961 |     840 |    1111    1504 |  3.96x
prose_pride   |      71    7887    7949 |     845 |    1113    1696 |  4.69x
image_jpeg    |     116    9565    9666 |     850 |       0       0 | 11.37x
json_api      |     126    7307    7339 |     843 |    1116    1561 |  4.70x
dna_fasta     |     115    6845    6845 |     858 |    1123    1867 |  3.67x
chinese_text  |      83    6324    6356 |     836 |    1111    1503 |  4.23x
calgary_pic   |     372    4450    4446 |     847 |    1107    1629 |  2.73x

== b_cc_dt r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     272    4661    4817 |     869 |    1126    1870 |  2.58x
english       |      93   10651   10781 |     856 |    1119    1807 |  5.97x
html_wiki     |     108    5883    5913 |     842 |    1112    1501 |  3.94x
prose_pride   |      71    7853    7894 |     843 |    1113    1692 |  4.67x
image_jpeg    |     115    9458    9466 |     846 |       0       0 | 11.18x
json_api      |     126    7319    7341 |     843 |    1115    1559 |  4.71x
dna_fasta     |     115    6816    6835 |     857 |    1123    1868 |  3.66x
chinese_text  |      83    6346    6355 |     841 |    1110    1501 |  4.23x
calgary_pic   |     373    4334    4342 |     847 |    1108    1626 |  2.67x

== b_cc_bounds r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     272    4824    4828 |     871 |    1126    1870 |  2.58x
english       |      93   10667   10603 |     857 |    1119    1814 |  5.88x
html_wiki     |     109    5862    5890 |     843 |    1111    1504 |  3.92x
prose_pride   |      72    7914    7971 |     844 |    1113    1696 |  4.70x
image_jpeg    |     116    9435    9513 |     848 |       0       0 | 11.22x
json_api      |     128    7281    7350 |     843 |    1116    1562 |  4.71x
dna_fasta     |     117    6876    6870 |     858 |    1122    1866 |  3.69x
chinese_text  |      84    6377    6384 |     842 |    1111    1504 |  4.25x
calgary_pic   |     375    4332    4352 |     847 |    1107    1628 |  2.67x

== b_cc_tip r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     338    4835    4845 |     870 |    1125    1869 |  2.59x
english       |      90   10379   10595 |     858 |    1120    1813 |  5.85x
html_wiki     |     104    5796    5855 |     844 |    1113    1503 |  3.90x
prose_pride   |      69    7710    7723 |     845 |    1115    1696 |  4.55x
image_jpeg    |     111    9340    9413 |     847 |       0       0 | 11.12x
json_api      |     122    7183    7258 |     845 |    1117    1559 |  4.65x
dna_fasta     |     112    6833    6845 |     860 |    1122    1864 |  3.67x
chinese_text  |      80    6244    6249 |     842 |    1112    1503 |  4.16x
calgary_pic   |     363    4330    4363 |     849 |    1107    1627 |  2.68x

== b_cc_exp r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     328    4673    4670 |     874 |    1127    1871 |  2.50x
english       |      94   10410   10626 |     858 |    1119    1812 |  5.87x
html_wiki     |     110    5835    5868 |     843 |    1111    1504 |  3.90x
prose_pride   |      73    7739    7771 |     845 |    1113    1700 |  4.57x
image_jpeg    |     112    9386    9507 |     848 |       0       0 | 11.21x
json_api      |     128    7269    7297 |     844 |    1115    1561 |  4.67x
dna_fasta     |     117    6822    6854 |     860 |    1122    1867 |  3.67x
chinese_text  |      85    6269    6294 |     843 |    1110    1503 |  4.19x
calgary_pic   |     376    4333    4326 |     849 |    1106    1628 |  2.66x

== b_gcc-14_main r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     329    4933    4941 |     787 |    1108    1884 |  2.62x
english       |      92   10921   11001 |     776 |    1102    1823 |  6.03x
html_wiki     |     104    5988    6014 |     766 |    1095    1516 |  3.97x
prose_pride   |      70    8145    8233 |     766 |    1096    1706 |  4.83x
image_jpeg    |     113    9629    9684 |     773 |       0       0 | 12.53x
json_api      |     121    7678    7733 |     766 |    1100    1568 |  4.93x
dna_fasta     |     116    6819    6818 |     777 |    1103    1877 |  3.63x
chinese_text  |      82    6475    6483 |     765 |    1094    1513 |  4.28x
calgary_pic   |     375    4421    4442 |     768 |    1090    1641 |  2.71x

== b_gcc-14_tip r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     337    4820    4843 |     788 |    1107    1882 |  2.57x
english       |      92   10512   10433 |     776 |    1102    1826 |  5.76x
html_wiki     |     107    5742    5728 |     765 |    1096    1517 |  3.78x
prose_pride   |      70    7681    7708 |     767 |    1097    1708 |  4.51x
image_jpeg    |     113    9381    9583 |     771 |       0       0 | 12.43x
json_api      |     126    7106    7130 |     766 |    1099    1572 |  4.54x
dna_fasta     |     115    6847    6851 |     777 |    1103    1880 |  3.64x
chinese_text  |      82    6225    6244 |     765 |    1094    1515 |  4.12x
calgary_pic   |     366    4284    4300 |     768 |    1089    1642 |  2.62x

== b_clang_main r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     378    4903    4926 |     557 |    1338    2187 |  2.25x
english       |     254   10908   10983 |     550 |    1326    2073 |  5.30x
html_wiki     |     225    6140    6176 |     542 |    1318    1698 |  3.64x
prose_pride   |     179    8199    8284 |     542 |    1320    1942 |  4.26x
image_jpeg    |     366    9800    9918 |     550 |       0       0 | 18.05x
json_api      |     232    7822    7892 |     542 |    1323    1765 |  4.47x
dna_fasta     |     196    6781    6779 |     551 |    1325    2151 |  3.15x
chinese_text  |     206    6603    6653 |     542 |    1315    1696 |  3.92x
calgary_pic   |     610    4322    4345 |     542 |    1312    1858 |  2.34x

== b_clang_tip r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     361    4811    4802 |     556 |    1337    2196 |  2.19x
english       |     266   10858   10952 |     548 |    1325    2086 |  5.25x
html_wiki     |     237    6075    6085 |     540 |    1319    1709 |  3.56x
prose_pride   |     185    8073    8147 |     540 |    1318    1943 |  4.19x
image_jpeg    |     394    9844    9880 |     547 |       0       0 | 18.08x
json_api      |     244    7559    7590 |     540 |    1322    1787 |  4.25x
dna_fasta     |     193    6764    6770 |     547 |    1326    2177 |  3.11x
chinese_text  |     217    6444    6470 |     540 |    1315    1706 |  3.79x
calgary_pic   |     598    4223    4250 |     540 |    1311    1878 |  2.26x

== b_clang_exp r1 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     378    4669    4697 |     557 |    1336    2194 |  2.14x
english       |     261    8416    9543 |     548 |    1326    2112 |  4.52x
html_wiki     |     237    6088    6131 |     540 |    1318    1726 |  3.55x
prose_pride   |     183    8167    8207 |     540 |    1318    1956 |  4.20x
image_jpeg    |     391    9736    9931 |     547 |       0       0 | 18.16x
json_api      |     245    7650    7715 |     540 |    1322    1797 |  4.29x
dna_fasta     |     196    6770    6760 |     548 |    1324    2158 |  3.14x
chinese_text  |     217    6556    6562 |     540 |    1314    1712 |  3.83x
calgary_pic   |     609    4235    4237 |     540 |    1313    1866 |  2.27x

== b_clang_exp r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     377    4810    4820 |     555 |    1335    2177 |  2.21x
english       |     261   10916   11021 |     548 |    1326    2094 |  5.26x
html_wiki     |     236    6075    6122 |     539 |    1319    1722 |  3.55x
prose_pride   |     183    8167    8255 |     540 |    1319    1949 |  4.24x
image_jpeg    |     390    9753    9928 |     547 |       0       0 | 18.16x
json_api      |     244    7630    7678 |     539 |    1322    1797 |  4.27x
dna_fasta     |     196    6761    6753 |     548 |    1325    2155 |  3.14x
chinese_text  |     216    6507    6533 |     539 |    1316    1712 |  3.82x
calgary_pic   |     609    4245    4246 |     540 |    1312    1890 |  2.25x

== b_clang_tip r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     362    4652    4710 |     556 |    1335    2170 |  2.17x
english       |     266   10881   10937 |     548 |    1325    2095 |  5.22x
html_wiki     |     237    6045    6084 |     540 |    1318    1722 |  3.53x
prose_pride   |     185    8099    8170 |     540 |    1318    1961 |  4.17x
image_jpeg    |     394    9848    9890 |     546 |       0       0 | 18.10x
json_api      |     244    7533    7655 |     540 |    1322    1778 |  4.31x
dna_fasta     |     193    6772    6772 |     548 |    1324    2166 |  3.13x
chinese_text  |     217    6492    6517 |     540 |    1315    1707 |  3.82x
calgary_pic   |     596    4231    4252 |     540 |    1310    1871 |  2.27x

== b_clang_main r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     378    4938    4939 |     557 |    1339    2167 |  2.28x
english       |     254   10952   10985 |     550 |    1326    2080 |  5.28x
html_wiki     |     225    6108    6188 |     542 |    1317    1709 |  3.62x
prose_pride   |     179    8306    8289 |     542 |    1320    1949 |  4.26x
image_jpeg    |     367    9779    9898 |     549 |       0       0 | 18.02x
json_api      |     232    7799    7877 |     542 |    1323    1763 |  4.47x
dna_fasta     |     196    6794    6797 |     551 |    1324    2159 |  3.15x
chinese_text  |     206    6575    6634 |     542 |    1316    1704 |  3.89x
calgary_pic   |     610    4328    4348 |     542 |    1311    1867 |  2.33x

== b_gcc-14_tip r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     338    4830    4845 |     788 |    1107    1882 |  2.57x
english       |      92   10384   10634 |     776 |    1102    1826 |  5.82x
html_wiki     |     107    5746    5741 |     765 |    1095    1517 |  3.79x
prose_pride   |      70    7725    7712 |     767 |    1097    1708 |  4.52x
image_jpeg    |     113    9291    9391 |     773 |       0       0 | 12.15x
json_api      |     126    7090    7125 |     766 |    1099    1573 |  4.53x
dna_fasta     |     115    6841    6844 |     777 |    1103    1878 |  3.64x
chinese_text  |      82    6217    6236 |     765 |    1094    1513 |  4.12x
calgary_pic   |     366    4320    4318 |     768 |    1090    1641 |  2.63x

== b_gcc-14_main r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     330    4920    4932 |     788 |    1107    1883 |  2.62x
english       |      92   10778   10839 |     776 |    1102    1824 |  5.94x
html_wiki     |     104    6009    6045 |     765 |    1094    1516 |  3.99x
prose_pride   |      70    8170    8222 |     766 |    1097    1708 |  4.81x
image_jpeg    |     113    9588    9680 |     772 |       0       0 | 12.54x
json_api      |     121    7596    7710 |     766 |    1099    1572 |  4.91x
dna_fasta     |     116    6782    6831 |     776 |    1101    1880 |  3.63x
chinese_text  |      82    6478    6512 |     765 |    1095    1513 |  4.30x
calgary_pic   |     375    4399    4417 |     768 |    1089    1640 |  2.69x

== b_cc_exp r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     328    4851    4797 |     872 |    1124    1871 |  2.59x
english       |      94   10363   10595 |     857 |    1119    1812 |  5.85x
html_wiki     |     110    5769    5799 |     842 |    1110    1502 |  3.86x
prose_pride   |      73    7735    7745 |     845 |    1113    1698 |  4.56x
image_jpeg    |     112    9398    9423 |     850 |       0       0 | 11.09x
json_api      |     128    7229    7264 |     844 |    1115    1560 |  4.66x
dna_fasta     |     117    6858    6854 |     860 |    1123    1865 |  3.68x
chinese_text  |      85    6230    6259 |     842 |    1111    1502 |  4.17x
calgary_pic   |     376    4321    4311 |     848 |    1106    1626 |  2.66x

== b_cc_tip r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     337    4840    4841 |     874 |    1125    1872 |  2.59x
english       |      90   10388   10442 |     858 |    1121    1814 |  5.76x
html_wiki     |     104    5778    5806 |     842 |    1113    1505 |  3.86x
prose_pride   |      69    7684    7711 |     844 |    1115    1699 |  4.54x
image_jpeg    |     111    9487    9572 |     848 |       0       0 | 11.28x
json_api      |     121    7246    7247 |     844 |    1118    1562 |  4.64x
dna_fasta     |     112    6843    6850 |     860 |    1122    1867 |  3.67x
chinese_text  |      80    6261    6276 |     843 |    1112    1506 |  4.17x
calgary_pic   |     363    4303    4318 |     848 |    1107    1628 |  2.65x

== b_cc_bounds r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     272    4802    4815 |     871 |    1125    1867 |  2.58x
english       |      93   10509   10688 |     856 |    1118    1809 |  5.91x
html_wiki     |     110    5877    5886 |     842 |    1111    1500 |  3.92x
prose_pride   |      72    7854    7867 |     844 |    1112    1690 |  4.65x
image_jpeg    |     117    9481    9514 |     849 |       0       0 | 11.21x
json_api      |     129    7271    7312 |     843 |    1116    1556 |  4.70x
dna_fasta     |     117    6856    6863 |     857 |    1121    1863 |  3.68x
chinese_text  |      84    6305    6340 |     840 |    1110    1497 |  4.24x
calgary_pic   |     375    4328    4360 |     847 |    1107    1625 |  2.68x

== b_cc_dt r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     269    4640    4714 |     872 |    1126    1870 |  2.52x
english       |      93   10733   10800 |     856 |    1119    1810 |  5.97x
html_wiki     |     108    5887    5927 |     841 |    1112    1503 |  3.94x
prose_pride   |      71    7879    7870 |     843 |    1114    1693 |  4.65x
image_jpeg    |     115    9449    9485 |     849 |       0       0 | 11.18x
json_api      |     126    7331    7375 |     843 |    1117    1562 |  4.72x
dna_fasta     |     115    6831    6838 |     858 |    1123    1867 |  3.66x
chinese_text  |      83    6368    6382 |     839 |    1111    1503 |  4.25x
calgary_pic   |     373    4346    4363 |     846 |    1109    1625 |  2.69x

== b_cc_sched r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     265    4717    4764 |     869 |    1124    1874 |  2.54x
english       |      93   10721   10812 |     856 |    1118    1816 |  5.95x
html_wiki     |     108    5929    5951 |     840 |    1110    1504 |  3.96x
prose_pride   |      71    7878    7966 |     845 |    1113    1698 |  4.69x
image_jpeg    |     116    9624    9699 |     850 |       0       0 | 11.41x
json_api      |     124    7288    7327 |     843 |    1116    1561 |  4.69x
dna_fasta     |     115    6788    6841 |     858 |    1123    1867 |  3.66x
chinese_text  |      83    6324    6363 |     839 |    1110    1502 |  4.24x
calgary_pic   |     374    4375    4416 |     848 |    1107    1627 |  2.71x

== b_cc_main r2 ==
DECODE M/s    | pivco_s pivco_n pivco_bu | trad_4s | huf0_x1 huf0_x2 |   ratio
--------------|-------------------------|---------|------------------|--------
proba80       |     328    4860    4850 |     870 |    1126    1870 |  2.60x
english       |      93   10905   10967 |     856 |    1119    1808 |  6.07x
html_wiki     |     107    6029    6045 |     839 |    1112    1503 |  4.02x
prose_pride   |      71    8277    8213 |     842 |    1113    1693 |  4.89x
image_jpeg    |     114    9644    9699 |     846 |       0       0 | 11.47x
json_api      |     124    7682    7775 |     843 |    1116    1559 |  4.99x
dna_fasta     |     117    6820    6838 |     856 |    1121    1865 |  3.67x
chinese_text  |      83    6477    6492 |     832 |    1111    1501 |  4.32x
calgary_pic   |     378    4388    4413 |     846 |    1108    1625 |  2.72x

=== TRIAGE DONE ===
